title,singer,lyrics
내 귀에 캔디 (Feat. 택연 of 2PM),백지영,"(니가 원하는 그 말이 뭐야 내게 말해봐)
 니가 무슨 말을 해준데도 나는 날아가 
(제일 달콤한 그 말을 원한다면 나를 봐) 
부끄럽지만 그 말을 원해 너도 알잖아 

(사랑해) 사랑해 (I love you) I love you 
(어떤 말을 원해도 다 니 귓가에 해줄께)
워 아이 니 (워 아이 니) Te quiero (Te quiero) 
너무 달콤해서 말이 말같지가 않아 

(내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘) 
내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘 

라라 라라라라 라라 라라라 라라라~
라라 라라라라 라라 라라라 라라라~

(달콤하게 적신 딸기 같은 너의 입술로)
달콤하게 적신 딸기 같은 너의 입술로 
(말해 부드럽게 말해 빨리 나의 귓가로) 
말해 부드럽게 말해 빨리 나의 귓가로 

(사랑해) 사랑해 (I love you) I love you 
(어떤 말을 원해도 다 니 귓가에 해줄께)
워 아이 니 (워 아이 니) Te quiero (Te quiero) 
너무 달콤해서 말이 말같지가 않아 

(내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘) 
내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘 

라라 라라라라 라라 라라라 라라라~
라라 라라라라 라라 라라라 라라라~

(내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘) 
내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘 
(내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘) 
내 귀에 캔디 꿀처럼 달콤해 니 목소리로 부드럽게 날 녹여줘

라라 라라라라 라라 라라라 라라라~
라라 라라라라 라라 라라라 라라라~"
사랑 안해,백지영,"그럴려고 그랬어 돌아가려고 
너의 차가움엔 그래 다 이유 있었던거야 
나를 만지는 너의 손길 없어진 
이제야 깨닫게 되었어. 네 맘 떠나간 것을 

설마하는 그런 미련 때문에 
그래도 나는 나를 위로해 
나 이제 이러는 내가 더 가여워 
이제라도 널 지울꺼야 기억의 모두를 

이제 다시 사랑안해 말하는 난 너와 같은 사람 
다시 만날 수가 없어서 사랑할 수 없어서 
바보처럼 사랑 안해 말하는 널 사랑한다 
나를 잊길바래 나를 지워줘 

바보처럼 몰랐어 너희 두 사람 
아직 기억하려던 그건 그래 다 욕심이야 
다짐했건만 매일 아침 눈을 떠 
지나간 너에게 기도해 나를 잊지 말라고 

제발 지금 내가 바라는 하나 
내 얘길 너무 쉽게 하지마 
차라리 나를 모른다고 말해줘 
시간지나 알게 될꺼야 내 사랑의 가치를 

이제 다시 사랑안해 말하는 난 너와 같은 사람 
다시 만날 수 가 없어서 사랑할 수 없어서 
바보처럼 사랑안해 말하는 널 사랑한다 
나를 잊길 바래 나를 지워줘

내가 없는 내가 아닌 그 자리에 사랑 채우지마 
혹시 만날 수 가 있다면 사랑 할 수 있다면 
아프잖아 사랑한 널 지켜보며 사랑한다 
그 말 한마디를 하지 못해서"
Because Of You,백지영,"Because of you 너를 만난 이후 나의 모든 것이 달라졌고
처음으로 믿기 시작했어 나는 알게 됐어 꿈을 꾸게 됐어
나란 사람도 사랑이라는 걸 할 수 있다는 걸

Because of you Because of you
내가 사는 이유 Because of you
너만 사랑했고 너만 사랑하고 너만 사랑할 나일 테니까
Because of you Now I can say 'I love you'
사랑하는 이유 Because of you
이게 사랑이건 사랑이 아니건
나를 달라지게 만든 건 Because of you

거짓 없이 사랑한 그 이후 아픔이란 것도 알게 됐고
나에겐 니가 전부였다는 걸 그때 알게 됐어

Because of you Because of you
내가 사는 이유 Because of you
너만 사랑했고 너만 사랑하고 너만 사랑할 나일 테니까
Because of you Now I can say 'I love you'
사랑하는 이유 Because of you
이게 사랑이건 사랑이 아니건
나를 달라지게 만든 건 Because of you
Because of you 나의 모든 것이 달라졌어"
그여자,백지영,"한 여자가 그대를 사랑합니다 그 여자는 열심히 사랑합니다
매일 그림자처럼 그대를 따라다니며 그 여자는 웃으며 울고 있어요

얼마나 얼마나 더 너를 이렇게 바라만 보며 혼자
이 바람 같은 사랑 이 거지같은 사랑 계속해야 니가 나를 사랑 하겠니

조금만 가까이 와 조금만 한발 다가가면 두 발 도망가는
널 사랑하는 난 지금도 옆에 있어 그 여잔 웁니다

그 여자는 성격이 소심합니다 그래서 웃는 법을 배웠답니다
친한 친구에게도 못하는 얘기가 많은 그 여자의 마음은 눈물투성이

그래서 그 여자는 그댈 널 사랑 했대요 똑같아서
또 하나같은 바보 또 하나같은 바보 한번 나를 안아주고 가면 안돼요

난 사랑 받고 싶어 그대여 매일 속으로만 가슴 속으로만 소리를 지르며
그 여자는 오늘도 그 옆에 있대요

그 여자가 나라는 걸 아나요 알면서도 이러는 건 아니죠
모를 거야 그댄 바보니까

얼마나 얼마나 더 너를 이렇게 바라만 보며 혼자
이 바보 같은 사랑 이 거지같은 사랑 계속해야 니가 나를 사랑 하겠니

조금만 가까이 와 조금만 한발 다가가면 두 발 도망가는
널 사랑하는 난 지금도 옆에 있어 그 여잔 웁니다"
오늘도 사랑해,백지영,"바라 볼 수 밖에 없어서..만질 수가 없어서..슬퍼..
바로 앞에 서 있는 그대..그리고 그 뒤에 나..

항상 그늘이 진 곳에서..그늘이 진 얼굴로..울어..
돌아봐 달라고 못 하는 나야..또 눈물이 나는 나야..

내일이 와도 사랑 해..어제보다 더 사랑 해..
가슴 안에 있는 말..꺼내지 못 한 채..
오늘도 그대를 사랑 해..

그대 뒤에 있기는 싫어..매일 옆에 있고만..싶어..
그 날이 오기를 원 하는 나야 ..그 때문에 사는 나야..

보고 있어도 그리 워..같이 있어도 외로 워..
혼자만 하는 이 사랑..끝이 보이지 않아..
서러울 만큼..힘이 들지만..

내일이 와도 사랑 해..어제보다 더 사랑 해..
가슴 안에 있는 말..꺼내지 못 한 채..
오늘도 그대를 사랑 해..그대만 사랑 해..

내 맘..하나도 모르는..
바보 같은 그 사람..내 눈 앞에 그 사람..
그래..그대니까..

보고 있어도 그리 워..같이 있어도 외로 워..
혼자만 하는 이 사랑..끝이 보이지 않아..
서러울 만큼..힘이 들지만..

내일이 와도 사랑 해..어제보다 더 사랑 해..
가슴 안에 있는 말..꺼내지 못 한 채..
오늘도 그대를 사랑 해..그대만 사랑 해.."
See You Again (Feat. 리처드 용재 오닐),백지영,"See your eyes
See your face
자꾸 가슴이 뛰어서

See your face
See your eyes
맘에 품은 걸 알았죠

내가 살아온
세상 어느 순간보다 더
소중해서  

그댈 둘러싼
시간 꿈 모두 다 한 조각
공기처럼 간직했죠 

너무나 아파서 슬픈 사랑은
매일 밤이면 낯선 얼굴로 서서

저기 바람은 가고 있는 길을
알고 있다 말하죠

I'll be there
함께 하나요

See your eyes
See your face
자꾸 눈물이 흘러서

가진 것
아닌 것
아무 소용이 없었죠

내가 살아갈 세상
어느 곳에서도 그 이름
부를 수 없어서

이토록 아팠던 우리 사랑은
매일 밤이면 낯선 얼굴로 서서

저기 바람은 가고 있는 길을
알고 있다 말하죠

I'll be there
함께 하나요

I'll be there
I'll be there

모두 흩어진 뒤에
만나죠
다 아픈 거죠

그곳에선 함께 웃고 있죠
I'll be there

See you again"
목소리 (Feat. 개리 of 리쌍),백지영,"내 귓가에 파도소리
아무도 없는 것 같아 
아프게 홀로 서있는 난 
[Cuz I’m so lonely] 
울지 말자 했잖아 
바다만 보러 왔잖아 
이제는 그만 (이제는 그만) 이제는 그만(이제는 그만)
 
떠나지 않는 내 귓가에 그의 목소리 

너를 떠나 보냈는데
자꾸 들리는 목소리 
난 눈을 감아도 또 숨을 참아도 
들려 그 놈 목소리 
아프게 더 날 나쁘게  
만드는 그 놈 목소리 
난 볼 수도 없고 만질 수도 없는 
너를 저 파도 속에 다 흘려 보내  

부서지는 파도 그처럼 아프다 내 맘도
서럽게도 시간이란 놈은 잘도 흘러간다
아무리 잡고 잡으려 해도
파도처럼 너는 왔다 가고
너보다 잘난 사람 백 명이 와도
사랑하기 싫다 너 말고
가슴 아픈 이별마저도 잡고 
놔주고 싶지 않아 
상처라도 갖고 다 주고 싶지 않아
왜 하필 나야
영원히 널 갖지 못하는 게 이게 다야
우리 사랑이란 게 차라리 잘해주지 말지 못된 사람
하루도 제대로 못 살아 이게 뭐야
참고 참아도 버리고 버려도
내 맘에 다시 돌아오는 건 너야
술을 마셔도 거릴 걸어도 혼자 떠나도
파도처럼 나를 다시 덮치는 건 너야

너를 떠나 보냈는데
자꾸 들리는 목소리 
난 눈을 감아도 또 숨을 참아도 
들려 그 놈 목소리 
아프게 더 날 나쁘게  
만드는 그 놈 목소리 
난 볼 수도 없고 만질 수도 없는 
너를 저 파도 속에 다 흘려 보내  

파도처럼 너는 다시 왔다 가고
하루하루 그리움에 나는 살고
참고 참아도 버리고 버려도
내 맘에 다시 돌아오는 너를 안고
난 살아가

매일매일 니 목소리에 (니 목소리가 들려 매일매일)
내가 죽을 것 같애 (예~예~)
입을 막고 서글퍼라
평생 울 것을 다 울어
이제야 알겠어 눈물이 많단 걸
나도 결국 여자야

아프게 더 날 나쁘게  
만드는 그 놈 목소리 
난 볼 수도 없고 만질 수도 없는 

너를 저 파도 속에 다 흘려 보내"
선택,백지영,"너를 포기하라고 말하는 
그를 넌 믿고있는것 같아 
난 그를 알아 쉽게 널 버릴거야 
그걸 정말 모르니 

내가 널 사랑하는것보다
그의 곁에서 넌 행복했니 
말도 안되는 일들이 벌어졌어 
잘못했던 일이야

너만을 사랑해 이렇게 너를 보낼수없어 
제발 다시 한번더 생각해봐 부탁이야

흔들리지마 이젠 더 이상 
나의 사랑을 시험하지마

누구에게도 널 빼앗길수 없어 
널 다시 찾을거야

너만을 사랑해 이렇게 너를 보낼수없어 
제발 다시 한번더 생각해봐 부탁이야

흔들리지마 이젠 더 이상 
나의 사랑을 시험하지마 

누구에게도 널 빼앗길수 없어
널 다시 찾을거야 

흔들리지마 이젠 더 이상 
나의 사랑을 시험하지마

누구에게도 널 빼앗길수 없어 
널 다시 찾을거야 

라라라라라 라라라라라 라라라라라~ 
라라라라라 라라 라라라 라라라라~"
My Light,백지영,"어둠이 내려오는 밤 앞이 보이지 않아서
난 어디로 가야 할지 알 수가 없어
온 세상이 고요해져
스치는 바람도 괜히 두려워져
 
희미한 불빛이 보여
혹시 날 기다린 건 아닌지
나의 발걸음이 네게 닿기를

내가 찾아갈게 My light My light
더 헤매이지 않게 Moonlight Starlight
내 빛이 되어 줘
반짝이는 빛을 따라 걷다 보면 네가
이 길 끝에 있을 것 같아 My light

별 하나 뜨지 않은 밤 별을 따라서 숨은 달
빈 하늘을 바라보다 울컥 눈물이 나
하늘도 나처럼 혼자인 걸까
나 눈물을 흘리듯 비 내리는 걸까

희미한 불빛이 보여
혹시 날 기다린 건 아닌지
나의 발걸음이 네게 닿기를

내가 찾아갈게 My light My light
더 헤매이지 않게 Moonlight Starlight
내 빛이 되어 줘
반짝이는 빛을 따라 걷다 보면 네가
이 길 끝에 있을 것 같아 My light
 
처음부터 우린 슬픔을 알았는지 몰라
운명처럼 다시 만날 수 있을까

내가 찾아갈게 My light My light
더 헤매이지 않게 Moonlight Starlight
이 길을 비춰 줘
무엇보다 니가 오래 더 빛날 수 있게
내 품에 안아 줄게 이제 외롭지 않게"
사랑 하나면 돼,백지영,"하루만 더 기다리다 말거야
이제 그만 너를 다 잊어내고 말거야
이 정도면 많이 기다렸잖아
얼마 못 가 잊었단 그 말은 하지마
알아 다 알아 많이 힘들 거라서
끝내 다시 너를 찾을 나는 여자이니까

사랑 하나면 돼..난 그거면 돼..
다른 건 아무 것도 필요 없어
니 품에서만 행복해서 난 웃으며 살 수 있었나 봐
내 사라진 미소 짙어진 눈물 니 손길을 더 바라니까
돌아와 제발 오늘이 지나면..

내 눈물은 끝을 모르고 흘러
메마른 이 가슴에 눈물꽃이 피고
알아 다 알아 오지 않을거란 걸
그래도 나 한 조각의 기댄 버릴 수 없나 봐

사랑 하나면 돼..난 그거면 돼..
다른 건 아무 것도 필요 없어
니 품에서만 행복해서 난 웃으며 살 수 있었나 봐
내 사라진 미소 짙어진 눈물 니 손길을 더 바라니까..
돌아와 제발 오늘이 지나
기나긴 시간 기다릴 내게로..
니가 아니면 누구도 마음을 안 주는
그런 나니까

너만 있으면 돼..난 그러면 돼..
유난히 고집스런 나였지만
쓸모가 없어 쓸 데가 없는 자존심까지 버렸잖아
내 마지막 사랑 간절한 사람
두 손을 모아 빌테니까..

돌아와 제발 내일이 지나도
기다릴 내게로.."
