,title,singer,lyrics
0,너희는 (Feat. 김광률),이은영,"너희는 하나님의 택하신
거룩하고 사랑스러운 자니 
긍율과 자비와 
겸손과 온유와 오래참음 가득하길
너희는 하나님의 택하신
거룩하고 사랑스러운 자니 
서로 용서하고 
모든 것 위에 사랑을 더하라
주 말씀 너희 마음속에 풍성히 거하며
시와 찬미 감사함으로 주를 찬양할찌라

너희는 하나님의 택하신
거룩하고 사랑스러운 자니 
긍율과 자비와 
겸손과 온유와 오래참음 가득하길
너희는 하나님의 택하신
거룩하고 사랑스러운 자니 
서로 용서하고 
모든 것 위에 사랑을 더하라
주 말씀 너희 마음속에 풍성히 거하며
시와 찬미 감사함으로 주를 찬양할찌라
평강을 위하여 너희가 한몸 되었으니
언제나 감사하는 너희가 되어라
감사해
주 말씀 너희 마음속에 풍성히 거하며
시와 찬미 감사함으로 주를 찬양할찌라
주를 찬양할찌라 주를 찬양할찌라
주를 찬양할찌라"
1,봄날은 간다 (Bonus Track),김윤아,"눈을 감으면 문득 그리운 날의 기억 
아직까지도 마음이 저려 오는 건 

그건 아마 사람도 피고 지는 꽃처럼 
아름다워서 슬프기 때문일 거야 아마도

봄날은 가네 무심히도 꽃잎은 지네 바람에
머물 수 없던 아름다운 사람들 

가만히 눈감으면 잡힐 것 같은 
아련히 마음 아픈 추억 같은 것들 

봄은 또 오고 꽃은 피고 또 지고 피고 
아름다워서 너무나 슬픈 이야기 

봄날은 가네 무심히도 꽃잎은 지네 바람에 
머물 수 없던 아름다운 사람들 

가만히 눈감으면 잡힐 것 같은 
아련히 마음 아픈 추억 같은 것들 

눈을 감으면 문득 그리운 날의 기억 
아직까지도 마음이 저려 오는 건 

그건 아마 사람도 피고 지는 꽃처럼 
아름다워서 슬프기 때문일 거야, 아마도"
2,Going Home,김윤아,"집으로 돌아가는 길에
지는 햇살에 마음을 맡기고
나는 너의 일을 떠올리며
수많은 생각에 슬퍼진다.

우리는 단지 내일의 일도
지금은 알 수가 없으니까
그저 너의 등을 감싸 안으며
다 잘될 거라고 말할 수밖에.

더 해줄 수 있는 일이
있을 것만 같아 초조해져.
무거운 너의 어깨와
기나긴 하루하루가 안타까워.
내일은 정말 좋은 일이
너에게 생기면 좋겠어.
너에겐 자격이 있으니까.
이제 짐을 벗고 행복해지길
나는 간절하게 소원해 본다.

이 세상은 너와 나에게도
잔인하고 두려운 곳이니까
언제라도 여기로 돌아와,
집이 있잖아, 내가 있잖아.
내일은 정말 좋은 일이
우리를 기다려 주기를
새로운 태양이 떠오르기를
가장 간절하게 바라던 일이
이뤄지기를 난 기도해 본다."
3,야상곡 (夜想曲),김윤아,"바람이 부는 것은 더운 내 맘 삭여주려 
계절이 다 가도록 나는 애만 태우네 
꽃잎 흩날리던 늦봄의 밤 
아직 남은 님의 향기 
이제나 오시려나, 나는 애만 태우네. 

애달피 지는 저 꽃잎처럼 
속절없는 늦봄의 밤 
이제나 오시려나, 나는 애만 태우네 

구름이 애써 전하는 말 
그 사람은 널 잊었다. 
살아서 맺은 사람의 연 
실낱 같아 부질없다. 
꽃 지네 꽃이 지네, 부는 바람에 꽃 지네 
이제 님 오시려나, 나는 그저 애만 태우네 

바람이 부는 것은 더운 내 맘 삭여주려 
계절이 다 가도록 나는 애만 태우네 
꽃잎 흩날리던 늦봄의 밤 
아직 남은 님의 향기 
이제나 오시려나, 나는 애만 태우네"
4,길,김윤아,"아무도 가르쳐 주지 않아
이 길이 옳은지 다른 길로 가야 할지
난 저길 저 끝에 다 다르면 멈추겠지
끝이라며

가로막힌 미로 앞에 서 있어
내 길을 물어도 대답 없는 메아리
어제와 똑같은 이 길에 머물지 몰라
저 거미줄 끝에 꼭 매달린 것처럼

세상 어딘가 저 길 가장 구석에
갈 길을 잃은 나를 찾아야만 해
저 해를 삼킨 어둠이 오기 전에
긴 벽에 갇힌 나의 길을 찾아야만 하겠지

가르쳐줘 내 가려진 두려움
이 길이 끝나면 다른 길이 있는지
두 발에 뒤엉킨 이 매듭 끝을 풀기엔
내 무뎌진 손이 더 아프게 조여와 

세상 어딘가 저 길 가장 구석에
갈 길을 잃은 나를 찾아야만 해
저 해를 삼킨 어둠이 오기 전에
긴 벽에 갇힌 나의 길을 찾아야만 하겠지

가르쳐줘 내 가려진 두려움
이 길이 끝나면 다른 길이 있는지
두 발에 뒤엉킨 이 매듭 끝을 풀기엔
내 무뎌진 손이 더 아프게 조여와"
5,눈물 아닌 날들,김윤아,"머물면 안 되는
들켜버린 마음처럼

시간이 하얘지도록
다가온 사람

바보 같지만
핑계 같지만
난 그냥 무서웠어

자꾸자꾸
나의 눈에

너만 보이는
내 모든 날이

내가 많이 미안해
너에게

그래서 더 아파
내가 미워져

미안해
이 말 밖에 없는

한 번만 더 내 이름
불러 줄래

한 번만 더 곁에
있어 줄래

사랑해 사랑한
내 사람

눈뜨면 숨 쉬면
보고 싶은 볼 수 없는

시간이 멈춰버린 듯
내 아픈 사랑"
6,고독한 항해,김윤아,"차가운 바람은 나를 찌르고
무너진 가슴을 더 아프게 해
꽃잎은 떨어지고 이제는 다 시들어
발끝이 닿지 않는 깊은 늪에 난 빠져가네
내 맘은 찢겨져 버틸 수가 없네
칠흑 같은 어둠이 날 삼키려 해
아~
떨어진 나뭇잎 위로 눈물이
행여라도 그대 뒤돌아볼까
헛된 바램인 걸까 바람은 더 거세어
폭풍우 몰아치는 그 언덕에 난 홀로 있네
내 맘은 찢겨져 버틸 수가 없네
칠흑 같은 어둠이 날 삼키려 해
아~
홀로 남겨진 이 고독한 항해
칠흑 같은 어둠 속을 떠나보내
아~"
7,꿈,김윤아,"때로 너의 꿈은
가장 무거운 짐이 되지
괴로워도 벗어 둘 수 없는 굴레
너의 꿈은
때로 비길 데 없는 위안
외로워도 다시 걷게 해 주는

때로
다 버리고
다 털어버리고
다 지우고
다 잊어버리고
다시 시작하고 싶어

때로 너의 꿈은
가장 무서운 거울이라
초라한 널 건조하게 비추지
너의 꿈은
때로 마지막 기대어 울 곳
가진 것 없는 너를 안아주는

간절히
원하는 건 이뤄진다고
이룬 이들은 웃으며 말하지
마치 너의 꿈은 꿈이 아닌 것처럼

소중하게 품에 안고 꿈을 꾸었네
작고 따뜻한 꿈
버릴 수 없는 애처로운 꿈

너의 꿈은
때로 무거운 짐이 되지
괴로워도 벗어 둘 수 없는 굴레
너의 꿈은
때로 비교할 데 없는 위안
외로워도 다시 한 번 걷게 해주는 
간절하게 원한다면 모두
이뤄질 거라 말하지 마
마치 나의 꿈은 
꿈이 아닌 것처럼

마치 나의 꿈은 
꿈이 아닌 것처럼"
8,봄이 오면,김윤아,"봄이 오면 
 하얗게 핀 꽃 들녁으로
 당신과 나 단 둘이
 봄 맞으러 가야지
 바구니엔 앵두와 풀꽃 가득담아 
 하얗고 붉은 향기가득
 봄 맞으러 가야지

 봄이 오면 
 연두빛 고운 숲속으로 
 어리고 단비 마시러
 봄 맞으러 가야지
 풀 무덤에 새까만 앙금 모두 묶고
 마음엔 한껏 꽃 피워
 봄 맞으러 가야지
 봄바람 부는 흰 꽃 들녘에 시름을 벗고
 다정한 당신을 가만히 안으면
 마음엔 온통 봄이 봄이 흐드러지고
 들녁은 활짝 피어나네

 봄이 오면 
 봄바람 부는 연못으로 
 당신과 나 단 둘이
 노저으러 가야지
 나룻배에 가는 겨울 오는 봄 싣고 
 노래하는 당신과 나
 봄 맞으러 가야지
 봄이오면 
 봄이 오면
 봄이 오면
 봄이 오면 
 봄이 오면"
9,눈물 아닌 날들,김윤아,"머물면 안 되는
들켜버린 마음처럼

시간이 하얘지도록
다가온 사람

바보 같지만
핑계 같지만
난 그냥 무서웠어

자꾸자꾸
나의 눈에

너만 보이는
내 모든 날이

내가 많이 미안해
너에게

그래서 더 아파
내가 미워져

미안해
이 말 밖에 없는

한 번만 더 내 이름
불러 줄래

한 번만 더 곁에
있어 줄래

사랑해 사랑한
내 사람

눈뜨면 숨 쉬면
보고 싶은 볼 수 없는

시간이 멈춰버린 듯
내 아픈 사랑"
10,목소리,김윤아,"시든 꽃도 숨 쉰다 
깊은 새벽은 푸르다
노랫소린 더 작아질 뿐
사라지지 않는다

So if you know the right way
멈추지마 또 걸어가
고요해진 마음에 들려오는 멜로디

많은 사람 스친다
매일 눈빛이 다르다
계절의 끝 그 길 위에
고단함을 벗는다

So if you know the right way
돌아서서 또 바라봐

Without any words spoken
전해지는 목소리
    
멜로디
기억 속 짧은 시간을 부르는 목소리
조용히
나직이"
11,나인 너에게,김윤아,"그리워했던 목소리마저
사라져버렸네 모두 떠났네

달콤했었던 그 기대까지
꿈처럼 아득해 흔적조차 없네

끝없이 긴 외로움 그 맘 알아
꼭 삼켜야 했었던 기도까지

모진 하루에 다 지쳐버린
부서진 너를 내가
안아줄게

꾹 다문 입술 불안한 두 손
숨길 수 없는데 홀로 두려운데

차가운 바람이 그친 후엔
아름답게 우리 남을 거야
기억도 아픔도 모두 빛날거야

끝없이 긴 외로움 그 맘 알아
꼭 삼켜야 했었던 기도까지

모진 하루에 다 지쳐버림
부서진 너를 내가 안아줄게
반드시 나 너를 다시 안아줄게
날 닮은 너를 꼭 다시 안아줄게"
12,봄이 오면,김윤아,"봄이 오면 
 하얗게 핀 꽃 들녁으로
 당신과 나 단 둘이
 봄 맞으러 가야지
 바구니엔 앵두와 풀꽃 가득담아 
 하얗고 붉은 향기가득
 봄 맞으러 가야지

 봄이 오면 
 연두빛 고운 숲속으로 
 어리고 단비 마시러
 봄 맞으러 가야지
 풀 무덤에 새까만 앙금 모두 묻고 
 마음엔 한껏 꽃 피워
 봄 맞으러 가야지
 봄바람 부는 흰 꽃 들녘에 시름을 벗고
 다정한 당신을 가만히 안으면
 마음엔 온통 봄이 봄이 흐드러지고
 들녁은 활짝 피어나네

 봄이 오면 
 봄바람 부는 연못으로 
 당신과 나 단 둘이
 노저으러 가야지
 나룻배에 가는 겨울 오는 봄 싣고 
 노래하는 당신과 나
 봄 맞으러 가야지
 봄이오면 
 봄이 오면
 봄이 오면
 봄이 오면 
 봄이 오면"
