title,singer,lyrics
어땠을까 (Feat. 박정현),싸이 (PSY),"내가 그때 널 잡았더라면 너와 나 지금보다 행복했을까
마지막에 널 안아줬다면 어땠을까

나의 옛사랑 옛사람 
가끔 난 너의 안부를 속으로 묻는다
그리고는 혼자 씩 웃는다
희미해진 그때의 기억을 빈 잔에 붓는다
잔이 차고 넘친다
기억을 마신다 
그 기억은 쓰지만 맛있다
그 시절 우리의 도수는 거의 웬만한 독주보다 높았어
보고 또 봐도 보고팠어
사랑을 해도 해도 서로에게 고팠어
목말랐어
참 우리 좋았었는데 헤어질 일이 없었는데

왜 그랬을까 그땐 사랑이 뭔지 몰라서
사랑이 사랑인줄 몰랐어
혼자서 그려본다
헤어지지 않았더라면

어땠을까 (내가 그때 널)
어땠을까 (잡았더라면)
어땠을까 (너와 나 지금보다 행복했을까)
어땠을까 (마지막에 널)
어땠을까 (안아줬다면)
어땠을까 (너와 나 지금까지 함께 했을까)

둘이 같이 꼴딱 밤새 맞이한 아침
홀딱 잠 깨 창문을 닫지
우리는 마치 창 밖의 참새처럼 잠들기 싫어하는 애처럼 초등학생처럼
아무도 없는데 아무도 모르게 아무도 못 듣게 귓속에 말을 해
그 시절 우리의 온도는 거의 저 밑에 적도 보다 높았어
성났어 감기도 아닌 것이 열났어
온몸의 어디든 귀를 갖다 대면은 맥박소리가 
귓가에 그날의 너의 소리가

왜 그랬을까 그땐 사랑이 뭔지 몰라서
사랑이 사랑인 줄 몰랐어
혼자서 그려본다
헤어지지 않았더라면

어땠을까 (내가 그때 널)
어땠을까 (잡았더라면)
어땠을까 (너와 나 지금보다 행복했을까)
어땠을까 (마지막에 널)
어땠을까 (안아줬다면)
어땠을까 (너와 나 지금까지 함께 했을까)

눈앞에서 살진 않지만 
눈감으면 살고 있다
다른 사람 품 안에서
같은 추억 하면서
내 곁에 있진 않지만
내 몸이 기억하고 있다
다른 사람 품 안에서 
같은 추억 하면서

왜 그랬을까 그땐 사랑이 뭔지 몰라서
사랑이 사랑인 줄 몰랐어
혼자서 그려본다
헤어지지 않았더라면

어땠을까 (내가 그때 널)
어땠을까 (잡았더라면)
어땠을까 (너와 나 지금보다 행복했을까)
어땠을까 (마지막에 널)
어땠을까 (안아줬다면)
어땠을까 (너와 나 지금까지 함께 했을까)"
예술이야,싸이 (PSY),"너와 나 둘이 정신없이 가는 곳 
정처 없이 가는 곳 정해지지 않은 곳 
거기서 우리 서로를 재워주고 
서로를 깨워주고 서로를 채워주고 

EXCUSE ME 잠시만 아직까진 우린 남
하지만 조만간 중독성을 자랑하는 장난감
지금 이 느낌적인 느낌이 통하는 느낌 
녹아버릴 아이스크림

지금이 우리에게는 꿈이야
너와 나 둘이서 추는 춤이야
기분은 미친 듯이 예술이야 
WOO-WHE-OH WOO-WHE-OH WOO-WHE-OH

하늘을 날아가는 기분이야 
죽어도 상관없는 지금이야
심장은 터질 듯이 예술이야 
WOO-WHE-OH WOO-WHE-OH WOO-WHE-OH 

예술이야 (예술이야) 예술이야 (예술이야) 
예술이야 (예술이야) 이런 날이 올 줄이야
예술이야 (예술이야) 예술이야 (예술이야) 
WOO-WHE-OH WOO-WHE-OH WOO-WHE-OH 

너와 나 둘이 밤새 잔을 부딪혀 
밤새 뺨을 부비며 밤새도록 둘이서

눈이 점점 풀린다 니도 따라 풀린다 
끌린다 너에 대한 수수께끼가 풀린다
지금 이 춤에 너의 가빠진 숨에 
수줍음에 YOU KNOW WHAT I MEAN 

지금이 우리에게는 꿈이야 
너와 나 둘이서 추는 춤이야
기분은 미친 듯이 예술이야 
WOO-WHE-OH WOO-WHE-OH WOO-WHE

하늘을 날아가는 기분이야 
죽어도 상관없는 지금이야
심장은 터질 듯이 예술이야 
WOO-WHE-OH WOO-WHE-OH WOO-WHE-OH 

여기서 우리 같은 것을 즐기고
같은 것을 느끼고 웃다가 흐느끼고

아가씨 만나기 전엔 난 건달 
미녀 만나기 전엔 야수였던 날
바꿔 버렸어 내가 찾던 사람 너였어 예술이였어 

지금이 우리에게는 꿈이야 
너와 나 둘이서 추는 춤이야
기분은 미친 듯이 예술이야 
WOO-WHE-OH WOO-WHE-OH WOO-WHE-OH 

하늘을 날아 가는 기분이야 
죽어도 상관없는 지금이야
심장은 터질 듯이 예술이야
WOO-WHE-OH WOO-WHE-OH WOO-WHE-OH

예술이야 (예술이야) 예술이야 (예술이야) 
예술이야 (예술이야) 이런 날이 올 줄이야
예술이야 (예술이야) 예술이야 (예술이야) 
WOO-WHE-OH WOO-WHE-OH WOO-WHE-OH

너와 나 언제까지나 
Till the end of time 
P s y "
뜨거운 안녕 (Feat. 성시경),싸이 (PSY),"PSY collaboration
TOY introducing 성발라드

불타 올랐던 남과 여 나 없이 괜찮니 넌
죽기 아니면 까무러칠 줄 알았어 미칠 줄 알았어 지칠 줄 알았어
그리워 너 미워
근사했고 감사했고 자기야 자기야 밤새 했고
이젠 오래돼버린 한 조각조각이 나도 너무 나서
하도 오래된 일이라서 나도 사는 게 바빠서
그만 맘에도 없는 말
그만 숨어서 한숨만
그만 우리 함께 했던 날
나만 미쳐 가는 걸까

소중했던 내 사람아 이젠 안녕 (그래 그래 이젠 안녕)
찬란하게 반짝이던 눈동자여 (그대 그대 눈동자여)
사랑했던 날들이여 이젠 안녕 (그래 그래 이젠 안녕)
달빛 아래 타오르던 붉은 입술
떠난다면 보내드리리
뜨겁게 뜨겁게 안녕

같이 베었던 베개에 배어있는 너의 흔적을 버려
미련을 버려 남는 건 사진이야 다 지워버려
미팅 소개팅으로 재부팅해버려
너의 모든걸 삭제 맘대로 안돼
가슴과 머리가 따로 논다는 소리 BABY I AM SORRY
아침부터 밤까지 하나부터 열까지
다 같이 했기 때문에 너무 힘들어 입술을 깨무네
술김에 억지로 잠을 재우네
술도 수면제도 너를 못 이겨
또 밤을 새우네 왜 헤어졌냐 자존심 때문에

소중했던 내 사람아 이젠 안녕 (그래 그래 이젠 안녕)
찬란하게 반짝이던 눈동자여 (그대 그대 눈동자여)
사랑했던 날들이여 이젠 안녕 (그래 그래 이젠 안녕)
달빛 아래 타오르던 붉은 입술 (그대 그대 붉은 입술)

그리워 어지러워 서러워 기분 더러워

ONE MORE TIME

그리워 어지러워 서러워 기분 더러워

하나뿐인 목숨을 바치고
같은 날 생을 마치고
나 같은 놈에게 이 모든 건 사치고
다치고 닥치고 아디오스

소중했던 내 사람아 이젠 안녕 (그래 그래 이젠 안녕)
찬란하게 반짝이던 눈동자여 (그대 그대 눈동자여)
사랑했던 날들이여 이젠 안녕 (그래 그래 이젠 안녕)
달빛 아래 타오르던 붉은 입술
떠난다면 보내드리리
뜨겁게 뜨겁게 안녕

잘자요"
나팔바지,싸이 (PSY),"분위기 살려 어머 사람 살려
Let's give it up live it up baby (나팔바지)

세상이 나를 뭐라 판단해도 
그냥 사는 거야 생긴 대로
나팔바지를 입고서 짝다리를 짚고서
한쪽 다리를 떨면서 건들건들 거리면서

멋있진 않지만 가끔 멋지지 나
웃긴 놈이지만 우습진 않지 나
맛이 안 가지 나 원래 맛 간 놈이니까 
얼굴 두껍지만 지갑도 두껍지 나  

내 신발은 광이 나지 내 여자는 쌈빡하지
내 어깨 뽕 들어가지 내 바지는 나팔바지

나팔바지 (에헤라디야) 나팔나팔나팔
나팔바지 (에헤라디야) 나팔나팔나팔

밤새고 달려 아무도 못 말려 
everybody 날라리들의 파티
분위기 살려 어머 사람 살려 
Let's give it up live it up baby (나팔바지)

애쓴다고 안될 게 되지 않아
걱정은 옆집 개나 줘버려
에너지 모아 모아서 파도 한잔 돌리고 
신나면 허리 돌리고 would u shut up & let it go 

틀린 게 아니야 다른 것뿐이야 
판단을 하지마 그냥 느끼라니까
다르다고 틀리다고 하지말란 말씀이야 
임마 임마 하지마 듣는 임마 기분 나빠 임마
 
내 신발은 광이 나지 내 여자는 쌈빡하지
내 어깨 뽕 들어가지 내 바지는 나팔바지

나팔바지 (에헤라디야) 나팔나팔나팔
나팔바지 (에헤라디야) 나팔나팔나팔

밤새고 달려 아무도 못 말려 
everybody 날라리들의 파티
분위기 살려 어머 사람 살려 
Let's give it up live it up baby (나팔바지)

이팔청춘 이판사판 도개걸윷모 중에 모 아니면 도 Let's go
이팔청춘 이판사판 도개걸윷모 중에 모 아니면 도 Let's go
도개걸윷모 중에 모 아니면 도 Let's go
내 바지는 나팔바지

나팔바지 (에헤라디야) 나팔나팔나팔
나팔바지 (에헤라디야) 나팔나팔나팔

밤새고 달려 아무도 못 말려 
everybody 날라리들의 파티
분위기 살려 어머 사람 살려 
Let's give it up live it up baby (나팔바지)"
I LUV IT,싸이 (PSY),"내 나이 사십 babe
울 엄마 귀한 자식 babe
직업은 댄스 가수 babe
15년째 딴따라
A yeah~
 
기술보다는 예술이 I LUV IT
실력보다는 매력이 I LUV IT
품격보다는 파격이 I LUV IT
사치보다는 가치가 좋아 I LUV IT
자신을 LUV IT 여러분도 LUV IT
앞뒤 양옆 사람들 I LUV IT so much
남 걱정에 잠은 자셨냐
니 시방 밥은 자셨냐
 
생선을 먹을 땐 가시 발라먹어
수박을 먹을 때는 씨 발라먹어
날 좋아하는 분들 내 사랑 먹어
욕하고 모욕하고 그랬다 카더라
카는 분들 모여 이거나 먹어
 
I LUV IT I LUV IT I LUV IT (Oh yes~)
I LUV IT I LUV IT I LUV IT (유후~~) 
I LUV IT I LUV IT I LUV IT (I LUV IT!!) 
만사가 다 오케이야 
어절씨구 옹헤야~
 
We like 2 party babe
가끔은 추억 팔이 babe
그 추억은 수억짜리 babe
그 돈 줘도 안 팔아
A yeah~
 
개미보단 베짱이 I LUV IT
반칙보단 변칙이 I LUV IT
화풀이보단 뒤풀이 I LUV IT
선비보단 좀비가 좋아 I LUV IT
나의 fan LUV IT 안티 I LUV IT
앞뒤 양옆 사람들  I LUV IT so much
남 걱정에 잠은 자셨냐
니 시방 밥은 자셨냐
 
생선을 먹을 땐 가시 발라먹어
수박을 먹을 때는 씨 발라먹어
날 좋아하는 분들 내 사랑 먹어
욕하고 모욕하고 그랬다 카더라
카는 분들 모여 이거나 먹어
 
I LUV IT I LUV IT I LUV IT (Oh yes~)
I LUV IT I LUV IT I LUV IT (유후~~) 
I LUV IT I LUV IT I LUV IT (I LUV IT!!) 
만사가 다 오케이야 
어절씨구 옹헤야~
 
난 극단적인 놈 중간을 몰라요
이 정도는 껌 껌 껌 껌
난 끝장 보는 놈 중간이 없어요
누워서 떡 떡 떡 먹
 
한번 더!
 
I LUV IT I LUV IT I LUV IT (Oh yes~)
I LUV IT I LUV IT I LUV IT (유후~~) 
I LUV IT I LUV IT I LUV IT (I LUV IT!!) 
만사가 다 오케이야 
어절씨구 옹헤야~
 
오오오오오오오 좋아 좋아 좋아 좋아
오오오오오오오 참좋아 아주 좋아
오오오오오오오 좋아 좋아 좋아 좋아
오오오오오오오"
강남스타일,싸이 (PSY),"오빤 강남스타일 
강남스타일 

낮에는 따사로운 인간적인 여자 
커피 한잔의 여유를 아는 품격 있는 여자 
밤이 오면 심장이 뜨거워지는 여자 
그런 반전 있는 여자 

나는 사나이 
낮에는 너만큼 따사로운 그런 사나이 
커피 식기도 전에 원샷 때리는 사나이 
밤이 오면 심장이 터져버리는 사나이 
그런 사나이 

아름다워 사랑스러워 
그래 너 hey 그래 바로 너 hey 

아름다워 사랑스러워 
그래 너 hey 그래 바로 너 hey 

지금부터 갈 때까지 가볼까 

오빤 강남스타일 강남스타일 

오오오오 오빤강남스타일 

강남스타일 

오오오오 오빤강남스타일 

Eh- Sexy Lady 
오오오오 오빤 강남스타일 
Eh- Sexy Lady 
오오오오 

정숙해 보이지만 놀 땐 노는 여자 
이때다 싶으면 묶었던 머리 푸는 여자 
가렸지만 웬만한 노출보다 야한 여자 
그런 감각적인 여자 

나는 사나이 
점잖아 보이지만 놀 땐 노는 사나이 
때가 되면 완전 미쳐버리는 사나이 
근육보다 사상이 울퉁불퉁한 사나이 
그런 사나이 

아름다워 사랑스러워 
그래 너 hey 그래 바로 너 hey 

아름다워 사랑스러워 
그래 너 hey 그래 바로 너 hey 

지금부터 갈 데까지 가볼까 

오빤 강남 스타일 강남스타일 

오오오오 오빤 강남스타일 

강남스타일 

오오오오 오빤 강남스타일 

Eh- Sexy Lady 
오오오오 오빤 강남스타일 

Eh- Sexy Lady 
오오오오 

뛰는 놈 그 위에 나는 놈 
baby baby 
나는 뭘 좀 아는 놈 

뛰는 놈 그 위에 나는 놈 
baby baby 
나는 뭘 좀 아는 놈 

You know what I’m saying 

오빤 강남스타일 

Eh- Sexy Lady 
오오오오 오빤 강남스타일 

Eh- Sexy Lady 
오오오오 오빤 강남스타일 

오빤 강남스타일"
연예인,싸이 (PSY),"나의 그대가 원한다면 어디든 무대야
유머러스한 남자가 요즘엔 추세야
남자다운 남자는 낭자를 기쁘게 할 줄 알아야해
같이 놀고 가지고 놀고 잘 놀 줄 알아야 해
오늘부로 너의 연예인이 되기 위해 해 데뷔 무대 
코믹,멜로,액션,에로 맘에 드는 걸 찍으시죠
지금부터 슛 들어갑니다 영화한편 찍으시죠
엔딩에 키스씬 있다 참고 하시죠

그대의 연예인이 되어 항상 즐겁게 해 줄게요
연기와 노래 코메디까지 다 해줄게
그대의 연예인이 되어 평생을 웃게 해 줄게요
언제나 처음 같은 마음으로

너를 슬프게 하는 사람 누구야
우는 모습도 이뻐 뭐야 왜 우는데그러자 그녀가 웃는데
항상 개인기와 신기한 이벤트 쇼쇼쇼
준비 다 끝났으니 우울한 날엔 말씀하셔셔셔
분위기 띄울땐 댄스 뮤직 한 곡 때리고
무드 잡을 땐 발라드 한 곡 뽑고
리듬 타고플땐 힙합 힙힙힙합
하늘 높이 뛰고플땐 락엔롤

그대의 연예인이 되어 항상 즐겁게 해 줄게요
연기와 노래 코메디까지 다 해줄게
그대의 연예인이 되어 평생을 웃게 해 줄게요
언제나 처음 같은 마음으로

난 그대의 연예인
난 그대의 연예인
난 당신의 연예인
난 당신의 
난 당신의 댄스 가수


때로는 영화배우 같아 때로는 코미디언 같아
때로는 탤런트 같아 때로는 가수 같아
너의 기분에 따라 난 난 (난 그대의 연예인)

그대의 연예인이 되어 평생을 웃게 해 줄게요
언제나 처음 같은 마음으로

난 그대의 연예인"
낙원 (Feat. 이재훈),싸이 (PSY),"너와 단 둘이서 떠나가는 여행
너를 향한 내마음 절대 안 변해
보고 또 봐도 또 다시 나 반해
꿈만 같애 우리 둘이 함께 
우린서로 아무말도 없이 
이렇다 할 행선지도 없이 
빡빡한 저 세상 등지고 
너와내가 나침반과 지도 
하지 못했었던 말
한땐 다시 안본다 했었나 
허나 지금 우리 둘만 이 차 속에 
어느덧 훌쩍 지나버린 고개
비와바람도 세상과 사람도 
우릴 막지 말라 우린 지금 빨라
우릴 갈라 놨던 속세 탈출하는 찰라
우린 지금 아주 빨라

난 너와 같은 차를 타고
난 너와같은 곳을 보고
난 너와 같이 같은 곳으로 
그 곳은 천국일꺼야.

정신없이 달려온 곳 동해안
저 시원한 바다 소리가 곧 내맘 
너 때문에 잠 못자고 꼬박 샌 밤
손발을 다 합쳐도 못샌다
말이 필요없는 거야 같이 있는거야
이제서야 밝히지만 내 주인은 너야
기분 좋아 둘이 장도 봐
밥은 내가 할께 쌀만 담궈 놔
피곤한지 너는 잠깐 자고
그 사이 나는 몰래 요리책을 파고
드디어 오붓하게 저녁식사를 하고
여기가 바로 지상 낙원
비와바람도 세상과 사람도
우릴 막지 말라 우린 이제 달라
나홀로 애태웠던 예전과는 달라
우린 이제 많이 달라

난 너와 같이 마주 하고
난 너와 같이 살아 숨쉬고
난 너와 같이 같은 곳에서
여기가 천국인거야 오~

너로 인해 힘들었던 나의 어제가 
술안주로 변해버린 오늘이구나
내 여자구나 이제 안보낸다 절대
안겨봐 내 품에 포근해 소중해
나중에 다시 돌아가더라도 
오늘 하루 곱씹으며 행복하게 살어
나중에 다시 돌아가더라도 
오늘 하루 곱씹으며 나를 잊지 말어"
New Face,싸이 (PSY),"어딜 쳐다보는 거냐고
솔직히 너 그래 너 생판 처음 만난 너
왜 널 쳐다보는 거냐고
궁금해서 설레서 낯설어서
uh 두근 두근 두근 워
 
침착하게 서로서로 살살 알아볼까나
오빠 차 핸들 살살 돌려볼까나
모르는게 약이야
객관식은 첫 눈에 찍는게 답이야
아 뜨거 fyah 
너의 맘 나의 맘 두근 두근 두근 워
 
사람 새로운 사람
너무 설레어서 어지러워요
만남 새로운 만남
너무 설레어서 미치겠어요
 
낯선 낯선 여자의 낯선 향기에
Yes I want some new face
낯선 낯선 여자의 낯선 향기에
Yes I want some new face
 
New face new face new new new face
New face new face new new new face
 
원래 이런 사람이냐고
아니올시다 이거 봐봐
눈을 맞춰야 눈이 맞아
지금 작업하는 거냐고
솔직히 yes 그래 yes 오 yes
uh 두근 두근 두근 워
 
궁합이 떡인지 살살 맞춰볼까나
말하지 않아도 알아맞혀 볼까나
알면 병이야 어서 나를 따
너의 맥주병이야 님의 뽕이야
너의 맘 나의 맘 두근 두근 두근 워
 
사람 새로운 사람
너무 설레어서 어지러워요
만남 새로운 만남
너무 설레어서 미치겠어요
 
낯선 낯선 여자의 낯선 향기에
Yes I want some new face
낯선 낯선 여자의 낯선 향기에
Yes I want some new face
 
New face new face new new new face
New face new face new new new face
 
Hey we want some new face
(hey we want some new face)
Hey we want some new face
(hey we want some new face)
두근 두근 두근 워
 
낯선 낯선 여자의 낯선 향기에
Yes I want some new face
낯선 낯선 여자의 낯선 향기에
Yes I want some new face
 
예이 예이 예이 예 all right new face
예이 예이 예이 예 all right new face
두근 두근 두근 워 new face"
DADDY (Feat. CL of 2NE1),싸이 (PSY),"I got it from my DADDY  
DADDY  

I feel nice you look nice
널 보자마자 나 어머나 땡잡았스
Don't think twice 이미 게임 끝났스 
You'll be my curry, I'll be your rice

My name is PSY 
한국말로 박재상 
너의 아련한 눈동자에 빠져서 헤엄치고파 
오빠 달린다 꽉 붙잡아 언니야
나는 아름다운 아가씨의 동반자

Hold up wait a minute 지금부터 선수끼리 
밤이 아까워 turn up louder 
불타오르는 아름다운 그대여
 How do you like me now
 How you like me now
  How you like me now
How you like me now

Hey! Where did you get that body from? 
Where did you get that body from? 
Where did you get that body from? 

I got it from my DADDY  
I got it from my DADDY  
I got it got it 

Hey! Where did you get that body from? 
I got it from my DADDY  
I got it from my DADDY  
I got it got it 

Hey! Where did you get that body from? 
I got it from my DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD DADDY

I got it from my DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD DADDY 

I'm on fire Take u higher
넌 한폭의 명작 난 아낌없는 buyer
Don't be a liar 까고 말해봐요 
I'll be your honey, never expire

낮에는 잠만 자 밤이 오면 상남자 
널 보자마자 나 너무 좋아서 뻑이 가 
척 보면 압니다 
신나면 어린애입니다 
오빠가 오방가 깜빡이 안 키고 훅 들어갑니다

Hold up wait a minute 지금부터 선수끼리 
밤이 아까워 turn up louder 불타오르는 아름다운 그대여
How do you like me now? 
How do you like me now? 
How do you like me now? 
How do you like me now? 

Hey! Where did you get that body from?
Where did you get that body from? 
Where did you get that body from?

I got it from my DADDY 
I got it from my DADDY
I got it got it 

Hey! Where did you get that body from? 
I got it from my DADDY 
I got it from my DADDY 
I got it got it 

Hey! Where did you get that body from? 
I got it from my DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD DADDY 

I got it from my DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD DADDY

Listen 
Ma papa was a super man(hey)  
그대로 받아왔어 그 몸매 (hey) 
신사이길 거부하는 신사 
이 구역에 미친놈은 바로 나 (hey)  

I got it from my DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD DADDY 

I got it from my DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD  
DAD DAD DAD DAD DAD DADDY

I got it from my DAD DAD DAD DAD DAD 
DADDY"
